Date;Game;Result;
14/10/2023, 15:30;Argentina - Netherlands;1:0(0:0);
14/10/2023, 15:27;England - Belgium;1:1(0:1);
14/10/2023, 15:24;Italy - Brazil;0:1(0:0);
14/10/2023, 15:21;Germany - France;0:2(0:1);
14/10/2023, 15:18;Spain - Armenia;2:1(1:1);
14/10/2023, 15:15;Armenia - Argentina;1:2(0:1);
14/10/2023, 15:12;Netherlands - Germany;2:2(1:2);
14/10/2023, 15:09;Brazil - England;3:1(1:1);
14/10/2023, 15:06;France - Spain;1:1(0:0);
14/10/2023, 15:03;Italy - Belgium;1:0(0:0);
14/10/2023, 15:00;Italy - France;0:0(0:0);
14/10/2023, 14:57;Netherlands - Spain;1:0(1:0);
